date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-19T16:30:00Z,1,Empoli,Verona,0,1,0,0,1,Verona,Empoli,Luca Massimi
2023-08-19T16:30:00Z,1,Frosinone,Napoli,1,3,1,2,2,Napoli,Frosinone,Matteo Marcenaro
2023-08-19T18:45:00Z,1,Genoa,Fiorentina,1,4,0,3,3,Fiorentina,Genoa,Giovanni Ayroldi
2023-08-19T18:45:00Z,1,Inter,Monza,2,0,1,0,2,Inter,Monza,Andrea Colombo
2023-08-20T16:30:00Z,1,Roma,Salernitana,2,2,1,1,0,DRAW,DRAW,Ermanno Feliciani
2023-08-20T16:30:00Z,1,Sassuolo,Atalanta,0,2,0,0,2,Atalanta,Sassuolo,Matteo Marchetti
2023-08-20T18:45:00Z,1,Lecce,Lazio,2,1,0,1,1,Lecce,Lazio,Federico Dionisi
2023-08-20T18:45:00Z,1,Udinese,Juventus,0,3,0,3,3,Juventus,Udinese,Antonio Rapuano
2023-08-21T16:30:00Z,1,Torino,Cagliari,0,0,0,0,0,DRAW,DRAW,Francesco Cosso
2023-08-21T18:45:00Z,1,Bologna,Milan,0,2,0,2,2,Milan,Bologna,Luca Pairetto
2023-08-26T16:30:00Z,2,Frosinone,Atalanta,2,1,2,0,1,Frosinone,Atalanta,Juan Luca Sacchi
2023-08-26T16:30:00Z,2,Monza,Empoli,2,0,1,0,2,Monza,Empoli,Gianluca Aureliano
2023-08-26T18:45:00Z,2,Verona,Roma,2,1,2,0,1,Verona,Roma,Daniele Doveri
2023-08-26T18:45:00Z,2,Milan,Torino,4,1,3,1,3,Milan,Torino,Maurizio Mariani
2023-08-27T16:30:00Z,2,Fiorentina,Lecce,2,2,2,0,0,DRAW,DRAW,Maria Caputi
2023-08-27T16:30:00Z,2,Juventus,Bologna,1,1,0,1,0,DRAW,DRAW,Marco Di Bello
2023-08-27T18:45:00Z,2,Lazio,Genoa,0,1,0,1,1,Genoa,Lazio,Livio Marinelli
2023-08-27T18:45:00Z,2,Napoli,Sassuolo,2,0,1,0,2,Napoli,Sassuolo,Antonio Giua
2023-08-28T16:30:00Z,2,Salernitana,Udinese,1,1,0,0,0,DRAW,DRAW,Davide Massa
2023-08-28T18:45:00Z,2,Cagliari,Inter,0,2,0,2,2,Inter,Cagliari,Michael Fabbri
2023-09-01T16:30:00Z,3,Sassuolo,Verona,3,1,1,0,2,Sassuolo,Verona,Marco Piccinini
2023-09-01T18:45:00Z,3,Roma,Milan,1,2,0,1,1,Milan,Roma,Antonio Rapuano
2023-09-02T16:30:00Z,3,Bologna,Cagliari,2,1,0,1,1,Bologna,Cagliari,Daniele Orsato
2023-09-02T16:30:00Z,3,Udinese,Frosinone,0,0,0,0,0,DRAW,DRAW,Marco Guida
2023-09-02T18:45:00Z,3,Atalanta,Monza,3,0,2,0,3,Atalanta,Monza,Matteo Marcenaro
2023-09-02T18:45:00Z,3,Napoli,Lazio,1,2,1,1,1,Lazio,Napoli,Andrea Colombo
2023-09-03T16:30:00Z,3,Inter,Fiorentina,4,0,1,0,4,Inter,Fiorentina,Matteo Marchetti
2023-09-03T16:30:00Z,3,Torino,Genoa,1,0,0,0,1,Torino,Genoa,Daniele Chiffi
2023-09-03T18:45:00Z,3,Empoli,Juventus,0,2,0,1,2,Juventus,Empoli,Giovanni Ayroldi
2023-09-03T18:45:00Z,3,Lecce,Salernitana,2,0,1,0,2,Lecce,Salernitana,Luca Massimi
2023-09-16T13:00:00Z,4,Juventus,Lazio,3,1,2,0,2,Juventus,Lazio,Fabio Maresca
2023-09-16T16:00:00Z,4,Inter,Milan,5,1,2,0,4,Inter,Milan,Simone Sozza
2023-09-16T18:45:00Z,4,Genoa,Napoli,2,2,1,0,0,DRAW,DRAW,Michael Fabbri
2023-09-17T10:30:00Z,4,Cagliari,Udinese,0,0,0,0,0,DRAW,DRAW,Daniele Doveri
2023-09-17T13:00:00Z,4,Frosinone,Sassuolo,4,2,1,2,2,Frosinone,Sassuolo,Alessandro Prontera
2023-09-17T13:00:00Z,4,Monza,Lecce,1,1,1,1,0,DRAW,DRAW,Livio Marinelli
2023-09-17T16:00:00Z,4,Fiorentina,Atalanta,3,2,2,1,1,Fiorentina,Atalanta,Luca Pairetto
2023-09-17T18:45:00Z,4,Roma,Empoli,7,0,3,0,7,Roma,Empoli,Juan Luca Sacchi
2023-09-18T16:30:00Z,4,Salernitana,Torino,0,3,0,2,3,Torino,Salernitana,Antonio Giua
2023-09-18T18:45:00Z,4,Verona,Bologna,0,0,0,0,0,DRAW,DRAW,Federico La Penna
2023-09-22T16:30:00Z,5,Salernitana,Frosinone,1,1,0,1,0,DRAW,DRAW,Marco Piccinini
2023-09-22T18:45:00Z,5,Lecce,Genoa,1,0,0,0,1,Lecce,Genoa,Antonio Rapuano
2023-09-23T13:00:00Z,5,Milan,Verona,1,0,1,0,1,Milan,Verona,Matteo Marchetti
2023-09-23T16:00:00Z,5,Sassuolo,Juventus,4,2,2,1,2,Sassuolo,Juventus,Andrea Colombo
2023-09-23T18:45:00Z,5,Lazio,Monza,1,1,1,1,0,DRAW,DRAW,Rosario Abisso
2023-09-24T10:30:00Z,5,Empoli,Inter,0,1,0,0,1,Inter,Empoli,Matteo Marcenaro
2023-09-24T13:00:00Z,5,Atalanta,Cagliari,2,0,1,0,2,Atalanta,Cagliari,Ermanno Feliciani
2023-09-24T13:00:00Z,5,Udinese,Fiorentina,0,2,0,1,2,Fiorentina,Udinese,Daniele Chiffi
2023-09-24T16:00:00Z,5,Bologna,Napoli,0,0,0,0,0,DRAW,DRAW,Giovanni Ayroldi
2023-09-24T18:45:00Z,5,Torino,Roma,1,1,0,0,0,DRAW,DRAW,Marco Guida
2023-09-26T18:45:00Z,6,Juventus,Lecce,1,0,0,0,1,Juventus,Lecce,Antonio Giua
2023-09-27T16:30:00Z,6,Cagliari,Milan,1,3,1,2,2,Milan,Cagliari,Federico La Penna
2023-09-27T16:30:00Z,6,Empoli,Salernitana,1,0,1,0,1,Empoli,Salernitana,Antonio Rapuano
2023-09-27T16:30:00Z,6,Verona,Atalanta,0,1,0,1,1,Atalanta,Verona,Federico Dionisi
2023-09-27T18:45:00Z,6,Inter,Sassuolo,1,2,1,0,1,Sassuolo,Inter,Luca Massimi
2023-09-27T18:45:00Z,6,Lazio,Torino,2,0,0,0,2,Lazio,Torino,Michael Fabbri
2023-09-27T18:45:00Z,6,Napoli,Udinese,4,1,2,0,3,Napoli,Udinese,Gianluca Manganiello
2023-09-28T16:30:00Z,6,Frosinone,Fiorentina,1,1,0,1,0,DRAW,DRAW,Francesco Fourneau
2023-09-28T16:30:00Z,6,Monza,Bologna,0,0,0,0,0,DRAW,DRAW,Ivano Pezzuto
2023-09-28T18:45:00Z,6,Genoa,Roma,4,1,2,1,3,Genoa,Roma,Daniele Orsato
2023-09-30T13:00:00Z,7,Lecce,Napoli,0,4,0,1,4,Napoli,Lecce,Luca Pairetto
